auc_score,auc_std,params,iteration,train_time
0.764262970720221,0.03135230569705564,"{'alpha': 1.609120837920612, 'colsample_bynode': 0.6279103672438028, 'eta': 0.3332373019633814, 'gamma': 1.2378351332593183, 'lambda': 1.0389213127063548, 'max_depth': 3.0, 'n_estimators': 54.0, 'subsample': 0.5776700180952439}",14,3.522522300001583
0.7644601137764128,0.03157341465827919,"{'alpha': 2.476731210223021, 'colsample_bynode': 0.92111147512635, 'eta': 0.2068842541213414, 'gamma': 2.3889245792953755, 'lambda': 1.2508314516335555, 'max_depth': 2.0, 'n_estimators': 24.0, 'subsample': 0.5675104180992063}",15,1.5846365000033984
0.7390464633408617,0.033506712853938754,"{'alpha': 2.191782688648372, 'colsample_bynode': 0.7436257685166157, 'eta': 0.35914767688883176, 'gamma': 0.5273519721293777, 'lambda': 1.7669309646359435, 'max_depth': 8.0, 'n_estimators': 34.0, 'subsample': 0.9152840313394935}",16,4.957346800001687
0.7642254402491019,0.03331636618705353,"{'alpha': 2.61219458066201, 'colsample_bynode': 0.8494195919352497, 'eta': 0.19049628399788537, 'gamma': 2.1597929471169133, 'lambda': 1.283945820311573, 'max_depth': 3.0, 'n_estimators': 68.0, 'subsample': 0.5572236795260759}",17,4.983549399999902
0.7588624038639381,0.03468481495747253,"{'alpha': 0.2655468351814828, 'colsample_bynode': 0.540292958179507, 'eta': 0.17924486808253487, 'gamma': 1.1240453312219745, 'lambda': 2.473485961693437, 'max_depth': 4.0, 'n_estimators': 10.0, 'subsample': 0.654363640781492}",18,0.978449999995064
0.7349712759108479,0.03911677564630379,"{'alpha': 0.5484482553102925, 'colsample_bynode': 0.7678520328595243, 'eta': 0.157504679395581, 'gamma': 2.692510635776685, 'lambda': 2.336358746756412, 'max_depth': 8.0, 'n_estimators': 43.0, 'subsample': 0.9756227292698574}",19,6.153585599997314
0.7590309060032777,0.031508701659677,"{'alpha': 2.6959114922771157, 'colsample_bynode': 0.6070274721030929, 'eta': 0.2831645652677962, 'gamma': 2.524372799864133, 'lambda': 2.618071314751476, 'max_depth': 7.0, 'n_estimators': 15.0, 'subsample': 0.8356968178294719}",20,2.0545776000071783
0.7668062108462279,0.03037342048233106,"{'alpha': 2.326149555893443, 'colsample_bynode': 0.6473249312626633, 'eta': 0.12159267378462582, 'gamma': 1.6876818146267345, 'lambda': 1.0070351337956882, 'max_depth': 2.0, 'n_estimators': 50.0, 'subsample': 0.5002394430196223}",21,2.6141433000011602
0.7593918655514003,0.03147616234274778,"{'alpha': 2.2718382165204964, 'colsample_bynode': 0.984717523766618, 'eta': 0.11571728082872408, 'gamma': 1.8108668660519338, 'lambda': 1.0233568438285827, 'max_depth': 1.0, 'n_estimators': 19.0, 'subsample': 0.5213840133013999}",22,0.9924996000045212
0.7658828294985962,0.03255676311127248,"{'alpha': 2.413976914660432, 'colsample_bynode': 0.6953828992182391, 'eta': 0.10745556772608246, 'gamma': 2.8792187782500216, 'lambda': 1.236400054695695, 'max_depth': 1.0, 'n_estimators': 46.0, 'subsample': 0.6306048085216224}",23,1.8620878999936394
